offset,offset_hex,value,value_hex,count,frequency,varying_global,group_counts
86,0x0056,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
86,0x0056,80,0x50,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
88,0x0058,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
88,0x0058,97,0x61,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
90,0x005A,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
90,0x005A,115,0x73,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
92,0x005C,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
92,0x005C,115,0x73,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
94,0x005E,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
94,0x005E,119,0x77,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
